Cancion,Artista,Letra
La vida es un carnaval,Celia Cruz,"Todo aquel que piense

que la vida es desigual

tiene que saber que no es así

que la vida es una hermosura

hay que vivirla

Todo aquel que piense

que está solo y que está mal

tiene que saber que no es así

que en la vida no hay nadie solo

y siempre hay alguien



Ay, no hay que llorar,

que la vida es un carnaval

y es más bello vivir cantando, oh, oh, oh,

Ay, no hay que llorar

que la vida es un carnaval

y las penas se van cantando



Ay, no hay que llorar,

que la vida es un carnaval

y es más bello vivir cantando, oh, oh, oh

Ay, no hay que llorar

que la vida es un carnaval

y las penas se van cantando



Todo aquel que piense

que la vida siempre es cruel

tiene que saber que no es así

que tan solo hay momentos malos

y todo pasa



Todo aquel que piense

que esto nunca va a cambiar

tiene que saber que no es así

que al mal tiempo, buena cara

y todo cambia



Ay, no hay que llorar,

que la vida es un carnaval

y es más bello vivir cantando, oh, oh, oh

Ay, no hay que llorar

que la vida es un carnaval

y las penas se van cantando



Ay, no hay que llorar,

que la vida es un carnaval

y es más bello vivir cantando, oh, oh, oh

Ay, no hay que llorar

que la vida es un carnaval

y las penas se van cantando



(Carnaval)

Es para reir

(No hay que llorar)

Para gozar 

(Carnaval)

Para disfrutar

(Hay que vivir cantando)

(Carnaval)

La vida es un carnaval

(No hay que llorar)

Todos podemos cantar 

(Carnaval)

Ay señores!

(Hay que vivir cantando)

(Carnaval)

Todo aquel que piense

(No hay que llorar)

Que la vida es cruel

(Carnaval)

Nunca estará solo

(Hay que vivir cantando)

Diós està con él



Para aquellos que se quejan tanto

para aquellos que sólo critican

para aquellos que usan las armas

para aquellos que nos contaminan

para aquellos que hacen la guerra

para aquellos que viven pecando

para aquellos que nos maltratan

para aquellos que nos contagian"
Lambada,Kaoma,"Chorando se foi quem um dia só me fez chorar

Chorando se foi quem um dia só me fez chorar

Chorando estará ao lembrar de um amor

Que um dia não soube cuidar

Chorando estará ao lembrar de um amor

Que um dia não soube cuidar



A recordação vai estar com ele aonde for

A recordação vai estar pra sempre aonde eu for



Dança sol e mar guardarei no olhar

O amor faz perder encontrar

Lambando estarei ao lembrar que este amor

Por um dia, um instante foi rei



A recordação vai estar com ele aonde for

A recordação vai estar pra sempre aonde eu for



Chorando estará ao lembrar de um amor

Que um dia não soube cuidar

Canção riso e dor melodia de amor

Um momento que fica no ar



Ai ai ai

Dançando lambada"
Lluvia,Eddie Santiago,"No me digas nada, ya lo sabía
que nuestro romance acabaría
no me digas nada, no quiero mas palabras
porque aún siendo tuyas me lastiman
no me digas nada y márchate
no llames amor a tu hipocresía
no me digas nada, el tonto aquí he sido yo
me dañaron rosa tus espinas...

Lluvia, tus besos fríos como la lluvia
que gota a gota fueron enfriando
mi alma, mi cuerpo y mi ser

Lluvia, tus manos frías como la lluvia
que día a día fueron enfriando
mi ardiente deseo y mi piel

Ahora tengo que olvidar
ahora tengo que escapar
de tus recuerdos y tratar
de ser feliz con otra
que no me trate como tú
y que me ame como tú
nunca amarás...

No me digas nada y márchate
no llames amor a tu hipocresía
me dañaron rosa tus espinas...

Lluvia tus besos fríos como la lluvia
que gota a gota fueron enfriando
mi ardiente deseo y piel

Lluvia tus manos frías como la lluvia
que gota a gota fueron enfriando
mi ardiente deseo y mi piel...

Lluvia tus besos fríos como la lluvia
que gota a gota fueron enfriando
mi ardiente deseo y piel

¿Qué nos pasé?

Lluvia, tus besos fríos como la lluvia
chica mi ambición fue poseerte y quererte
si, si, con mi locura de amarte
lluvia, tus besos fríos como la lluvia
y derramarme en tu cuerpo
y siempre amarte, amarte, amarte y amarte...

Lluvia, tus besos fríos como la lluvia
yo quería tenerte, saciarme de ti
y no me dejaste...

Amiga, me dejaste con las ganas...

Lluvia, tus besos fríos como la lluvia,
tú, no has podido quererme
y simplemente porque no has querido intentarlo

Lluvia, tus besos fríos como la lluvia
socavar tus adentros quería
sin embargo no me comprendías

Lluvia, tus besos fríos como la lluvia
trataré de ser feliz con otra
no me digas nada y márchate."
Lobo hombre en París,La Unión,"Cae la noche y amanece en paris,

en el dia en que todo ocurrió.

como un sueño de loco sin fin

la fortuna se ha reido de ti,

ja, ja, sorprendido espiando

el lobo escapa aullando

y es mordido, por el mago del siam.

La luna llena sobre paris

ha transformado en hombre a dennis.

rueda por los bares del bulevar

se ha alojado en un sucio hostal

Ja, ja, mientras esta cenando

junto a él se ha sentado

una joven, con la que irá a contemplar.

La luna llena sobre parís

algunos francos cobra dennis.

Auuuh lobo-hombre en parís

auuuh su nombre es dennis.

El hombre-lobo está en paris

su nombre dennis

La luna llena sobre parís

ha transformado en hombre a dennis.

Mientras esta cenando

junto a él se ha sentado

una joven ­con la que irá a contemplar!

La luna llena sobre parís

ha transformado en hombre a dennis."
Loco,Los Auténticos Decadentes,"Te vi llegar del brazo de un amigo
Cuando entraste al bar y te caíste al piso,
Me tiraste el pingüino, me tiraste el sifón,
Estallaron los vidrios de mi corazón

Te vi bailar, brillando con tu ausencia
Sin sentir piedad chocando con las mesas
Te burlaste de todos, te reíste de mí
Tus amigos escaparon de vos,

[ESTRIBILLO]
Y a mí me volvió loco tu forma de ser,
A mí me volvio loco tu forma de ser
Tu egoísmo y tu soledad
Son estrellas en la noche de la mediocridad
Me vuelve loco tu forma de ser,
A mi me volvió loco tu forma de ser
Tu egoísmo y tu soledad
Son joyas en el barro de la mediocridad

Viniste a mí, tomaste de mi copa,
Me sonreíste así, nadando en tu demencia
No sabía que hacer, te traté de besar,
Me pegaste un sopapo y te pusiste a llorar

[ESTRIBILLO x2]

Me vuelve loco tu forma de ser,
A mí me volvió loco tu forma de ser
Tu egoísmo y tu soledad
Son estrellas en la noche de la mediocridad
(x2)"
Los hermanos Pinzones,Fontova y sus sobrinos,"Este mundo, esta empresa, este mundo de hoy
que te enifa la cabeza una y otra vez
en una línea y otra línea
y otra línea más.
Voy cumpliendo como puedo...
¡Yo trabajo acá!
Y te esnifo la cabeza cada día más
y me esnifan la cabeza
y nada ni nadie lo puede parar.
Vos creés ser el más fiero,
el más prontuariado aquí,
el animador del juego
(el condimentador)
Estás buscando un pequeño
infierno para vos,
donde soportar el fuego
de mi ataque de hoy.
Sos un tipo pan comido,
no es tu culpa, no,
zambullido en el caldero
(es la fatalidad)
Es endemoniadamente caro lo que sos
¡este clip me pone tieso!
¡yo me bajo acá!
Y te esnifo la cabeza
y nada ni nadie nos puede parar."
Lucha de Gigantes,Nacha Pop,"Lucha de gigantes

convierte el aire en gas natural

un duelo salvaje advierte

lo cerca que ando de entrar

en un mundo descomunal

siento mi fragilidad.



Vaya pesadilla

corriendo con una bestia detrás

dime que es mentira todo

un sueño tonto y no más

me da miedo la enormidad

donde nadie oye mi voz



Deja de engañar, no quieras ocultar

que has pasado sin tropezar

monstruo de papel, no sé contra quién voy

es que acaso hay alguien más aquí



Creo en los fantasmas terribles

de algún extraño lugar

y en mis tonterias para hacer tu risa estallar

en un mundo descomunal

siento tu fragilidad



Deja de engañar, no quieras ocultar

que has pasado sin tropezar

monstruo de papel, no se contra quién voy

o es que acaso hay alguien más aquí



Deja que pasemos sin miedo..."
Lunes por la madrugada,Los abuelos de la Nada,"Lunes por la madrugada yo cierro los ojos y veo tu cara que sonríe cómplice de amor.Días en la carretera yo siento aquí dentro la emoción de haber dejado lo mejor.Yo no sé si es en vano este amor, aquí no hay luces de escena y algo en mí no se serena, no.Yo ya no comprendo nada, tantas caras dibujadas como manchas en una pared.Noches de melancolía pateando en una ciudad vacía en la oscuridad te busco a vos.Quizás hoy si te pueda encontrar, más allá de toda pena siento que la vida es buena.Yo sé que no es en vano este amor..."
Maldita Primavera,Yuri,"Fue mas o menos así,

vino blanco noche viejas canciones,

y se reía de mi

dulce embustera la maldita primavera

que queda de un sueño erótico si

de repente me despierto y te has ido

siento el vació de ti me desespero

como si el amor doliera y aunque no quiera

sin quererlo pienso en ti.



Si para enamorarme ahora

volverá a mi la maldita primavera

que sueño si para enamorarme pasa una hora

pasa ligera la maldita primavera

pasa ligera me hace daño solo a mi.



Lo que tu paso dejo

es un beso que no pasa de un beso

una caricia que no suena sincera

un te quiero y no te quiero

y aunque no quieras

sin quererlo piensa en mi.



Si para enamorarme ahora

volverá a mi la maldita primavera

que importa si para enamorarme basta una hora

pasa ligera la maldita primavera

pasa ligera me maldice solo a mi.



Déjame amarte como si el amor viviera

y aunque no quiera si quererlo piensa en mi

que importa si para enamorarme basta una hora

pasa ligera la maldita primavera

pasa ligera para ti y para mi."
Masacre en el puticlub,Patricio Rey y sus redonditos de ricota,"Onder de groene hemel in de blauwe zon
speelt het blikken harmonie orkest in een grote regenton.
Daar trekt over de heuvels en door het grote bos
de lange stoet de bergen in van het circus Jeroen Bosch.
En we praten en we zingen en we lachen allemaal,
want daar achter de hoge bergen
ligt het Land van Maas en Waal

Ik loop gearmd met een kater voorop.
Daarachter twee konijnen met een trechter op hun kop.
En dan de grote snoeshaan, die legt een glazen ei.
Wanneer je het schudt dan sneeuwt het op de Egmondse Abdij.

Ik reik een meisje mijn koperen hand,
dan komen er twee Moren met hun slepen in de hand.
Dan blaast er de fanfare ter ere van de schaar,
die trouwt met de vingerhoed, ze houden van elkaar.

En onder de purperen hemel in de bruine zon
speelt nog steeds het harmonie orkest in een grote regenton.
Daar trekt over de heuvels en door het grote bos
de lange stoet de bergen in van het circus Jeroen Bosch
En we praten en we zingen en we lachen allemaal,
want daar achter de hoge bergen ligt het Land van Maas en Waal.

We zijn aan de koning van Spanje ontsnapt,
die had ons in zijn bed en de provisiekast betrapt.
We staken alle kerken met brandewijn in brand,
't is koudvuur, dus het geeft niet en het komt niet in de krant.

Het leed is geleden, de horizon schijnt
wanneer de doden dronken zijn en Pierlala verdwijnt.
Dan steken we de loftrompet en ook de dikke draak
en eten 's avonds zandgebak op het feestje bij Klaas Vaak.

En onder de gouden hemel in de zilveren zon
speelt altijd het harmonie orkest in een grote regenton.
Daar trekt over de heuvels en door het grote bos
de stoet voorgoed de bergen in van het circus Jeroen Bosch.
En we praten en we zingen en we lach-ahahahaa,
het Land van Maas en Waal,
van Maas en Waal, van Maas en Waal,
van Maas en Waal, van Maas en Waal."
Me das cada día más,Valeria Lynch,"En las buenas y en las malas

A mi lado siempre tu

De una forma sobrehumana

A mi lado siempre tu

No es tan fácil convivir conmigo

Sin embargo siempre al lado mío

Mi buen amor, mi gran amor

Siempre conmigo!

Más

Me das cada día más

Aleluya por el modo que tienes de amar

Más

Tu eres para mí la cumbre del amor

La tierra, el fuego, el sol, la lluvia en el trigal

Por esa forma tierna que tienes de amar

Más

Tu cuerpo con el mío, no hace falta más

Te quiero al lado mío cada día más

Yo soy una insaciable, quiero siempre más

En las buenas y en las malas

A mi lado siempre tu

Al dolor le das la espalda

Y mi cuerpo, tu calor

Qué manera tienes de quererme

De abrazarme y de protegerme

Mi buen amor, mi gran amor

Siempre conmigo

Más

Me das cada día más

Aleluya por el modo que tienes de amar

Más

Tu eres para mí la cumbre del amor

La tierra, el fuego, el sol, la lluvia en el trigal

Por esa forma tierna que tienes de amar

Más

Tu cuerpo con el mío, no hace falta más

Te quiero al lado mío cada día más

Yo soy una insaciable, quiero siempre más

Más

Me das cada día más

Aleluya por el modo que tienes de amar."
Mi agüita amarilla,Toreros Muertos,"Y creo que he bebido más de 40 cervezas hoy
y creo que tendré que expulsarlas fuera de mí
y subo al water que hay arriba en el bar
y la empiezo a mear y me echo a reír
Sale de mí una agüita amarilla, cálida y tibia

Y baja por una tubería,
pasa por debajo de tu casa,
pasa por debajo de tu familia,
pasa por debajo de tu lugar de trabajo,
mi agüita amarilla, mi agüita amarilla.

Y llega a un río,
la bebe el pastor,
la beben las vaquitas,
riega los campos,
mi agüita amarilla, mi agüita amarilla.

Y baja al mar,
juega con los pececillos,
juega con los calamares,
juega con las medusas
y con las merluzas
que tu te comes.

mi agüita amarilla, mi agüita amarilla,
mi agüita amarilla, mi agüita amarilla.

El sol calienta mi agüita amarilla,
la pone a cien grados,
la manda para arriba,
viaja por el cielo,
llega a tu ciudad
y empieza a diluviar.

Moja a las calles,
moja a tu padre,
tu madre lava, lava con mi agüita amarilla.

Moja el patio del colegio,
moja el ayuntamiento
mi agüita amarilla, mi agüita amarilla.

Y creo que he bebido más de 40 cervezas hoy
y creo que tendré que expulsarlas fuera de mí
y subo al water que hay arriba en el bar
y la empiezo a mear y me echo a reír
y me pongo a pensar
dónde irá, dónde irá,
dónde irá, dónde irá.

Se expandirá por el mundo,
pondrá verde la selva,
y lo que mas me alegra
es que mi agüita amarilla será un líquido inmundo,
mi agüita amarilla, mi agüita amarilla.."
Mi novia se cayó a un pozo ciego,Los Fabulosos Cadillacs,"Caminando por la calle con mi novia
Desde hoy ya no escucho mas sus penas
Mirenla en el pozo se ha caido
Ella no quiere nunca mas estar conmigo
Desde aca ya no puedo ni mirarla
Solo escucho que me grita y no se calla
Le pregunto que pasa por alla abajo
Nada, nada no veo un carajo

Hay que sacarla
Hay que sacarla
Del pozo ciego
Hay que ayudarla
Hay que ayudarla
Porque la quiero

Y aca fuera ya no tengo mas amigos
Con Elenita se fue todo lo mio
Quien me hara el te por la maana
O quien se acuesta conmigo en mi cama
Desde aca ya no puedo ni mirarla
Solo escucho que me grita y no se calla
Le pregunto que pasa por alla abajo
Nada, nada no veo un carajo

Hay que sacarla
Hay que sacarla
Del pozo ciego
Hay que ayudarla
Hay que ayudarla
Porque la quiero"
Mil horas,Los abuelos de la nada,"Hace frío y estoy lejos de casa

Hace tiempo que estoy sentado sobre esta piedra

Yo me pregunto para que sirven las guerras

Tengo un cohete en mi pantalón

Vos estás tan fría como la nieve a mi alrededor

Vos estás tan blanca, que yo no sé que hacer



La otra noche te esperé bajo la lluvia dos horas

Mil horas, como un perro

Y cuando llegaste me miraste y me dijiste 

Loco, estás mojado, ya no te quiero

En el circo vos ya sos una estrella

Una estrella roja que todo se lo imagina

Si te preguntan, vos no me conocías

No, no



Tengo un cohete en mi pantalón

Vos estás tan fría como la nieve a mi alrededor

Vos estás tan blanca, que yo no sé que hacer



Te esperé bajo la lluvia, no, no, no, no



La otra noche te esperé bajo la lluvia dos horas

Mil horas, como un perro

Y cuando llegaste me miraste y me dijiste 

Loco, estás mojado, ya no te quiero



La otra noche te esperé bajo la lluvia dos horas

Mil horas, como un perro

Y cuando llegaste me miraste y me dijiste 

Loco, estás mojado, ya no te quiero"
Mátenme Porque Me Muero,Caifanes,"Cuando me muera y me tengan que enterrar

quiero que sea con una de tus fotografías

para que no me de miedo estar abajo

para que no se me olvide como es tu cara

para imaginar que estoy contigo

y sentirme un poquito vivo

matenme porque me muero

matenme porque no puedo

matenme porque me muero

matenme porque no puedo

esta enfermedad es incurable

esta enfermedad ni con un valium

Cuando me muera y me tengan que enterrar

quiero que sea con dulces y no con piedras

por si alguna vez me buscas

estare eternamente lejos

como para darte solo flores

te guardare mil estrellas

Matenme porque me muero

matenme porque no puedo

matenme porque me muero

matenme porque no puedo"
Nada personal,Soda Stereo,"Comunicación sin emoción

Una voz en off, con expresión deforme

Busco algo que me saque este mareo

Busco calor en esa imagen de video 
Nada, oh oh oh

Nada Personal, oh oh oh

Nada, nada personal 



Ella no puede pensar, está aburrida

De tanto simular, cayó dormida 



Busco en TV

Algún mensaje entre líneas

Busco alguien que sacuda mi cabeza

Y no encuentro nada

Nada Personal, oh oh oh

Nada,

Nada personal

Nada especial 



Sinceramente será­a tan bueno, tocarte

Pero es inútil

Tu cuerpo es de látex

y no siento nada

Nada, oh oh oh

Nada personal

Nada, oh oh oh

Nada personal, oh oh oh

Nada personal

Nada especial"
Nada que perder,Los Pericos,"Prometo no mandar más cartas y no pasar por aquí
Prometo no llamarte más y no inventar ni mentir
Prometo no seguir viviendo así, prometo no pensar en tí
Prometo dedicarme solamente a mí.

Prometo que a partir de ahora lucharé por cambiar
Prometo que no me verás, que no voy a molestar
Sabes que lo digo de verdad, que no voy a fallarte en nada
Que tengo mucha fuerza de voluntad, que no te fallaré en nada
Prometo no seguir así, prometo que no voy a pensar en ti
Prometo dedicarme solamente a mí.

Y el aire que me sobre alrededor
Y el tiempo que se quede en nada
Nunca más escucharé tu voz
Energía nunca liberada
Promesas que se perderán en estas cuatro paredes
Como lágrimas en la lluvia se irán.

Siepre que no tengo sueño y no puedo descansar
Invento más de mil palabras y busco una verdad
Intento que suenen de forma genial
Intento que no digan nada
Nada siempre es toda la verdad
Nada significa nada
Y rompo las promesas que me hice a mí
Prometo pensar en tí
Ahora prometo solo pensar en tí.

Y hago que suenen de forma genial
Prometo que no dicen nada
Nada siempre es toda la verdad
Nada significa nada
Palabras que no dicen nada en estas cuatro paredes
Promesas que no valen nada, nada, nada, nada.

Y el aire que me sobre alrededor
Y el tiempo que se quede en nada
Nunca más escucharé tu voz
Energía nunca liberada
Promesas que se perderán en estas cuatro paredes
Como lágrimas en la lluvía se irán"
Nena,Miguel Bosé,"Ese modo de andar

ese look cha cha cha

casi casi vulgar

y esas cejas...

Me sentí castigar

te dije si si

por tu forma de amar

tan salvaje...



Hay un ángel en tu mirada, inquietante tabú



Nena luna serena

todo es posible, menos tu

nena, ámbar y arena

boca insaciable, solo tu

(promesas y mentiras)

solo tu... (estrella de mi corazón)

solo tu... (sofisticada diva)

solo tu... (ola, una ola, una ola)



No he podido escapar

de ese aquí ese allá

me deje dominar

poco a poco



Quiéreme con pasión

y dime si, si...

una vez y otra mas

que locura.



Hay un ángel en tu mirada

ese que sabes solo tu, solo tu.



Nena, luna serena

todo es posible, menos tu

nena, ámbar y arena

boca insaciable, solo tu

(promesa y mentiras)

solo tu... (estrella de mi corazón)

solo tu... (sofisticada diva)

solo tu... (ola, una ola, una ola).



Quiéreme con pasión

y dime si, si

una vez y otra mas

que locura.

Hay un ángel en tu mirada

ese que sabes solo tu, solo tu.

Nena deja ya de llorar

deja ya..."
Ni tú ni nadie,Alaska y Dinarama,"Haces muy mal en elevar mi tension, 
en aplastar mi ambicion, 
tu sigue asi, y ya veras. 
Miro el reloj es mucho mas tarde que ayer, 
te esperaria otra vez, 
why no lo hare, no lo hare. 



Donde esta nuestro error sin solucion 

fuiste tu el culpable o lo fui yo 

ni tu ni nadie, nadie, puede cambiarme. 



Mil campanas suenan en mi corazon, 

que dificil es pedir perdon, 

ni tu ni nadie, nadie puede cambiarme. 



Vete de aqui no me supiste entender 

yo solo pienso en tu piel, 

no es necesario mentir. 



Que facil es atormentarse despues, 

pero sobrevivire 

se que podre, sobrevivire. 



Donde esta nuestro error sin solucion 

fuiste tu el culpable o lo fui yo 

ni tu ni nadie, nadie, puede cambiarme. 



Mil campanas suenan en mi corazon, 

que dificil es pedir perdon, 

ni tu ni nadie, nadie puede cambiarme. 



Mil campanas suenan en mi corazon, 

que dificil es pedir perdon, 

ni tu ni nadie, nadie puede cambiarme. 



Donde esta nuestro error sin solucion 

fuiste tu el culpable o lo fui yo 

ni tu ni nadie, nadie, puede cambiarme. 



Mil campanas suenan en mi corazon, 

que dificil es pedir perdon, 

ni tu ni nadie, nadie puede cambiarme."
No llores por mí Argentina,Serú Girán,"Tu amor te espera

no esperes más.

¿por qué perdiste tanto tiempo?

indecisa al hablar

tan dura como Humphrey Bogart

entre lujurias y represión

bailaste los discos de moda

y era tu diversión

burlarte de los ilusionistas.

no llores por las heridas

que no paran de sangrar.

no llores por mí, Argentina

te quiero cada días más.

Estás enferma de frustración

y en tu locura no hay acuerdo.

una hiena al reír

pero al almuerzo con los cerdos.

Si las estrellas de cabaret

se ríen de tus movimientos

no es preciso mentir lo negro

que hay en tus pensamientos

no llores por las heridas

que no paran de sangrar.

no llores por mí, Argentina

te quiero cada días más.

Alguien se quiere ir.

alguien quiere volver

alguien que está atrapado

en el medio de un recuerdo.

Esto yo ya lo vi

esto ya lo escuché

ella no quiere ser amiga

de un chico de este pueblo."
No me dejan salir,Charly García,"Estoy verde, no me dejan salir.

Estoy verde, no me dejan salir.

No puedo largar, no puedo salir

no puedo sentir amor a este sentimiento

tengo que volverte a ver.



Tengo que volverte a ver

no puedo salir

por amor a este sentimiento.



Estoy verde, no me dejan salir

estoy verde, no me dejan salir.



No puedo pensar, no puedo vivir

no puedo pensar si amor es un pensamiento

tengo que volverte a ver.



Tengo que volverte a ver

no puedo perder, por amor a ese sentimiento.



Tengo que confiar en mi amor

tengo que confiar en mi sentimiento

tengo que confiar en mi amor

tengo que confiar en mi sentimiento.



Ya no sirve vivir para sufrir

te das cuenta, sacate el mocasín.



No puedo calmar, no puedo parir

no puedo esperar mil años que cambie el viento

tengo que volverte a ver.



Tengo que volverte a ver

no puedo perder, por amor a ese sentimiento

Tengo que confiar en mi amor

tengo que confiar en mi sentimiento.







(Gracias a belulh por esta letra)"
No Sé Si Es Amor,Timbiriche,"- ¿Bueno?

- si, ¿si, Thalía?, ¿hablas tú?

- sí, ¿Quién habla?

- Erick, ¿Cómo estás?

- Bien, ¿Y tú?

- Oye, pues hoy hay una función muy buena,

quería ver si querías ir al cine.

- ¿Ahorita?

- Es a las ocho.

- Es que me da pena.

- pero ¿Por qué?

- pues porque hace mucho no te veo.

- Yo tampoco pero vamos, ¿no?

- No sé, déjame ver.

- ¿Qué tienes qué ver?

- Tengo ver..., que ver, pues... ¡Pedir permiso!.

- ¿Y a quién?, pues pídele permiso.

- Es que ahorita no está mi mamá.

- Entonces, ¿me hablas o te hablo al rato?

- ¡No, no háblame al rato!

- O.k.

- ¡Oye!, pero no me cuelgues.

- ¿Porqué no?

- Porque quiero oir tu voz. - !Ay! - (risas)



Esta subita confusion esta loca cosquilla

desordenandome el corazon

esas ganas de no sé que

que me atacan de pronto

y pierdo la razon mirandote

lo cierto es que siempre contigo me pasa igual

de tu pensamiento al mio van descargas de electricidad



yo no sé si es amor

pero yo creo que si

se detiene el reloj

cuando tu estas junto a mi

esta revolución

que ya no se controlar

yo no sé si es amor

y lo voy a averiguar de una vez

te quiero

te quiero

yo creo

que si es amor

parece

a veces

parece

que si es amor

te quiero

te quiero

yo creo

que si es amor

parece

a veces

parece que si es amor.



Noches van si poder dormir

y las paso sentada junto al teléfono pensando en ti.

Me sorprendo soñándote,

mis amigas me llaman y no quiero salir,

¿¡Cómo la ves!?.

Ni yo misma me reconozco,

me transformé.

Y vivo pensando en nosotros dos.

Será que al fin me enamoré.



Y no sé si es amor,

pero parece que sí.

Se detiene el reloj,

cuando tú estás junto a mi.

Esta revolución que yo no sé controlar.

Yo no sé si es amor y lo voy a averiguar de una vez.



- ¡Oye, no va! ¿Sabes qué?. Que mejor ahorra y se rien por mi."
No te alejes tanto de mi,Luis Alberto Spinetta,"Algo está pasando hoy,

Es que te quiero tanto amor

Ya nada está cerrado

Luces como el mundo

Me estaba preguntando,

Me estaba preguntando,

Estaba simplemente así

Y ellos se estaban oxidando,

Y yo estaba por creer, en vos

No te alejes tanto

No te alejes tanto de mí

Me estaba preguntando,

Y estaba alimentando,

Y estaba alucinando bien,

Y es que estaba satinado,

Y estaba por pensar, en vos

Estaba yo pensando,

Que era balanceado,

Y estabas acercándote

Nena vos acercándote

Pero no,

Vos venías por alta,

Yo estaba satinado,

Me estabas recorriendo al fin

Nena al fin

No te alejes tanto de mí."
No voy en tren,Charly García,"No voy en tren, voy en avión

no necesito a nadie, a nadie alrededor.

porque no hay nadie que mi piel resista,

porque no hay nadie que yo quiera ver,

no veo televisión ni las revistas,

no veo ya nada que no pueda hacer.

por eso yo no voy en tren...

cuando era niño nunca fui muy listo

tocaba el piano como un animal

yo se, que algunos piensan que soy mixto

pero yo tengo personalidad.

yo soy de la cruz del sur

soy el que cierra y el que apaga la luz

yo soy de la cruz del sur,

aquí! y en anywhere.

no voy en tren... 







(Gracias a belulh por esta letra)"
Olvídame y Pega la Vuelta,Pimpinela,"Hace dos años y un día que vivo sin él

Hace dos años y un día que no lo e vuelto a ver

Y aunque no he sido feliz aprendí a vivir sin su amor

Pero al ir olvidando de pronto una noche volvió

¿Quién es?.. (Soy yo...)

¿Qué vienes a buscar?.. (A ti...)

Ya es tarde... (¿Por qué?..)

Porque ahora soy yo la que quiere estar sin ti

Por eso vete, olvida mi nombre, mi cara, mi casa

Y pega la vuelta.. (Jamás te pude comprender..)

Vete, olvida mis ojos, mis manos, mis labios

Que no te desean.. (Estás mintiendo ya lo sé..)

Vete, olvida que existo, que me conociste y no te sorprendas

Olvidate de todo que tú para eso tienes experiencia



En busca de emociones un día marché

De un mundo de sensaciones que no encontré

Y al descubrir que era todo una gran fantasía volví

Porque entendí que quería las cosas que viven en ti

Adiós... (Ayúdame..)

No hay nada más que hablar... (Piensa en mí..)

Adiós... (¿Por qué?..)

Porque ahora soy yo la que quiere estar sin ti

Por eso vete, olvida mi nombre, mi cara, mi casa

Y pega la vuelta.. (Jamás te pude comprender..)

Vete, olvida mis ojos, mis manos, mis labios

Que no te desean.. (Estás mintiendo ya lo sé..)

Vete, olvida que existo, que me conociste y no te sorprendas

Olvidate de todo que tú para eso tienes experiencia

Por eso vete, olvida mi nombre, mi cara, mi casa

Y pega la vuelta.. (Jamás te pude comprender..)

Vete, olvida mis ojos, mis manos, mis labios

Que no te desean"
Para Amarnos Más,Mijares,"Juntos la inmensidad

un mundo nuestra casa chica

el mundo no importa

porque siempre habrá un buen día

para amarnos más;

juntos para inventar

a no aburrirnos, desafiar la horas

de un futuro incierto

que solo nos sirven para amarnos mas 



Para amarnos más

nos juramos juntos que aunque la vida pase

los ríos corran y los pájaros emigren

siempre habrá un buen día para amarnos más,

para amarnos más

basta que te mire, basta que te roce

bastan nuestros cuerpos húmedos y fríos

para amarnos más, para amarnos más,

para amarnos más.



Juntos la eternidad

dos soledades, un imán perfecto

casi el egoismo solo para amarnos,

para amarnos más . . .

Para amarnos más

nos juramos juntos que aunque la vida pase

los ríos corran y los pájaros emigren

siempre habrá un buen día para amarnos mas

para amarnos más

basta que te mire, basta que te roce

bastan nuestros cuerpos húmedos y fríos

para amarnos más, para amarnos más,

para amarnos más."
Pensé que se trataba de cieguitos,Los Twist,"Caminando por la calle con mi novia
Desde hoy ya no escucho mas sus penas
Mirenla en el pozo se ha caido
Ella no quiere nunca mas estar conmigo
Desde aca ya no puedo ni mirarla
Solo escucho que me grita y no se calla
Le pregunto que pasa por alla abajo
Nada, nada no veo un carajo

Hay que sacarla
Hay que sacarla
Del pozo ciego
Hay que ayudarla
Hay que ayudarla
Porque la quiero

Y aca fuera ya no tengo mas amigos
Con Elenita se fue todo lo mio
Quien me hara el te por la maana
O quien se acuesta conmigo en mi cama
Desde aca ya no puedo ni mirarla
Solo escucho que me grita y no se calla
Le pregunto que pasa por alla abajo
Nada, nada no veo un carajo

Hay que sacarla
Hay que sacarla
Del pozo ciego
Hay que ayudarla
Hay que ayudarla
Porque la quiero"
Persiana Americana,Soda Stereo,"Yo te prefiero

fuera de foco

inalcanzable hey!

Yo te prefiero

irreversible

casi intocable hey!



Tus ropas caen lentamente

soy un espia, un espectador

y en el ventilador desgarrandote,

sé que te excita pensar hasta donde llegaré



Es difícil de creer

creo que nunca lo podré saber,

sólo así yo te veré

a través de mi persiana americana



Es una condena agradable

el instante previo oh!

es todo un desgaste,

una necesidad

más que un deseo



Estamos al borde de la corniza,

casi a punto de caer

no sientes miedo

sigues sonriendo,

sé que te excita pensar hasta donde llegaré



Es difícil de creer

creo que nunca lo podré saber

sólo así yo te veré

a través de mi persiana americana he! uhu!

yo te vere..



Tus ropas caen lentamente

soy un espia, un espectador

y en el ventilador desgarrandote

sé que te excita pensar hasta donde llegaré



Es difícil de creer,

creo que nunca lo podré saber

sólo así yo te veré

a través de mi persiana americana



Lo que pueda suceder

no gastes fuerzas para comprender

sólo así yo te veré

a través de mi persiana americana he!



Díficil, díficil de creer

creo que nunca lo podre saber

solo así yo te vere

a traves de mi persiana ohhh!



Solo asi yo te vere

A traves de mi persiana americana."
